FCSUBTYPE,FCSUBTYPE_desc,STYLE_NAME,FULL_NAME,DATEFEATURECREATED,DATEFEATUREMODIFIED,ACCESSLEVEL,METADATAID,FEATURETEXT,NAMEID,GLOBALID,BUILDINGTYPE,BUILDINGTYPE_desc,HEIGHT,CAPTUREMETHOD,CAPTUREMETHOD_desc,DATASOURCE,DATASOURCE_desc,PLANACCURACY,SPATIALRELIABILITYDATE,ATTRIBUTERELIABILITYDATE,TARGETDISPLAYSCALE,TARGETDISPLAYSCALE_desc,DATACUSTODIAN,DATACUSTODIAN_desc,gx_id
-98,,BuildingPolygon,,16/02/2007,,10,259,,-98,{E8A56744-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,16,1:50000TopographicSeriesByARMY,13.4,01/01/1993,01/01/1993,50000,1:50000,3,LANDGATE,1
-98,,BuildingPolygon,,16/02/2007,30/06/2008,10,907,,-98,{E8A76788-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,12,CitiesAndTownsSeriesByLANDGATE,6.7,01/01/2007,01/01/2007,20000,1:20000,3,LANDGATE,10
-98,,BuildingPolygon,,16/02/2007,19/12/2013,0,101612,,-98,{E8AE7A6E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,25/10/2012,25/10/2012,25000,1:25000,3,LANDGATE,100
-98,,BuildingPolygon,,16/02/2007,03/08/2012,0,100674,,-98,{E9553FF2-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,13.4,22/01/2010,22/01/2010,100000,1:100000,3,LANDGATE,1000
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{19D3CA34-2144-44A1-A505-C5B863838087},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10000
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{67E43B5A-1B81-4E9E-B886-7D28AD5285C2},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10001
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{12DD2212-5232-45B6-AEE0-5D3D5427A4DD},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10002
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{FA478312-14C9-498C-9B5B-B7746D111531},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10003
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{05D63CA7-913E-40FE-B541-6F5BE4918CC3},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10004
-98,,BuildingPolygon,,10/12/2014,,0,101948,,-98,{FF52C29F-F83E-4E15-ACA9-60C5C62A102E},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,15/08/2014,15/08/2014,20000,1:20000,3,LANDGATE,10005
