Time,Value,MEASURE,Description
2009,2294,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2338,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2315,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2199,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2148,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,757,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,449,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3589,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3613,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3614,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3463,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3354,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,304,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,304,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,243,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,196,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,191,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,79,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,77,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,95,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,64,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,74,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,41,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,26,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,39,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,35,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,14,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,424,CABEE_10,Business Entries - Total number of business entries (no.)
2010,407,CABEE_10,Business Entries - Total number of business entries (no.)
2011,377,CABEE_10,Business Entries - Total number of business entries (no.)
2012,295,CABEE_10,Business Entries - Total number of business entries (no.)
2013,279,CABEE_10,Business Entries - Total number of business entries (no.)
2009,347,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,286,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,294,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,366,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,289,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,68,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,60,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,59,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,77,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,78,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,48,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,38,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,27,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,44,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,27,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,463,CABEE_15,Business Exits - Total number of business exits (no.)
2010,384,CABEE_15,Business Exits - Total number of business exits (no.)
2011,380,CABEE_15,Business Exits - Total number of business exits (no.)
2012,487,CABEE_15,Business Exits - Total number of business exits (no.)
2013,394,CABEE_15,Business Exits - Total number of business exits (no.)
2012,710,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,704,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
