Time,Value,MEASURE,Description
2009,2509,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2651,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2620,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2664,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2515,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,902,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,397,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3786,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3893,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3874,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3956,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3814,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,471,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,552,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,439,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,462,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,343,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,151,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,117,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,123,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,125,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,113,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,36,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,24,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,30,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,41,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,658,CABEE_10,Business Entries - Total number of business entries (no.)
2010,693,CABEE_10,Business Entries - Total number of business entries (no.)
2011,592,CABEE_10,Business Entries - Total number of business entries (no.)
2012,628,CABEE_10,Business Entries - Total number of business entries (no.)
2013,471,CABEE_10,Business Entries - Total number of business entries (no.)
2009,523,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,464,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,493,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,567,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,562,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,87,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,84,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,91,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,112,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,118,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,48,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,34,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,28,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,31,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,21,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,658,CABEE_15,Business Exits - Total number of business exits (no.)
2010,582,CABEE_15,Business Exits - Total number of business exits (no.)
2011,612,CABEE_15,Business Exits - Total number of business exits (no.)
2012,710,CABEE_15,Business Exits - Total number of business exits (no.)
2013,701,CABEE_15,Business Exits - Total number of business exits (no.)
2012,156,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,147,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,19,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,15,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,221,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,211,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,17,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,10,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,1047,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,959,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,99,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,87,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,266,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,260,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,91,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,81,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,401,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,410,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,18,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,19,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
