Time,Value,MEASURE,Description
2009,670,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,719,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,691,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,707,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,665,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,244,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,187,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1088,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1137,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1111,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1145,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1096,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,110,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,154,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,99,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,138,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,86,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,42,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,34,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,26,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,40,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,35,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,8,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,9,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,10,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,7,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
