Time,Value,MEASURE,Description
2009,3191,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,3498,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,3473,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,3551,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,3416,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1265,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,700,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,5052,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,5373,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,5370,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,5550,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,5381,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,617,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,768,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,571,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,666,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,494,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,172,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,184,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,177,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,201,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,171,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,51,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,54,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,47,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,56,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,35,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,840,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1006,CABEE_10,Business Entries - Total number of business entries (no.)
2011,795,CABEE_10,Business Entries - Total number of business entries (no.)
2012,923,CABEE_10,Business Entries - Total number of business entries (no.)
2013,700,CABEE_10,Business Entries - Total number of business entries (no.)
2009,680,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,538,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,630,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,687,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,677,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,127,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,94,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,108,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,130,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,150,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,58,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,52,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,61,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,60,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,30,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,865,CABEE_15,Business Exits - Total number of business exits (no.)
2010,684,CABEE_15,Business Exits - Total number of business exits (no.)
2011,799,CABEE_15,Business Exits - Total number of business exits (no.)
2012,877,CABEE_15,Business Exits - Total number of business exits (no.)
2013,857,CABEE_15,Business Exits - Total number of business exits (no.)
