Time,Value,MEASURE,Description
2009,1938,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2025,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2071,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2129,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2037,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,721,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,632,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3284,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3350,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3449,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3501,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3390,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,446,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,445,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,423,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,399,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,309,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,121,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,119,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,137,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,126,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,104,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,49,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,33,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,32,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,36,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,26,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,616,CABEE_10,Business Entries - Total number of business entries (no.)
2010,597,CABEE_10,Business Entries - Total number of business entries (no.)
2011,592,CABEE_10,Business Entries - Total number of business entries (no.)
2012,561,CABEE_10,Business Entries - Total number of business entries (no.)
2013,439,CABEE_10,Business Entries - Total number of business entries (no.)
2009,411,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,398,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,396,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,397,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,437,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,78,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,82,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,53,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,73,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,93,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,34,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,51,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,44,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,42,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,24,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,523,CABEE_15,Business Exits - Total number of business exits (no.)
2010,531,CABEE_15,Business Exits - Total number of business exits (no.)
2011,493,CABEE_15,Business Exits - Total number of business exits (no.)
2012,512,CABEE_15,Business Exits - Total number of business exits (no.)
2013,554,CABEE_15,Business Exits - Total number of business exits (no.)
2012,56,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,51,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,39,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,44,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,170,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,159,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,16,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,12,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,574,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,534,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,198,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,189,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,210,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,188,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,135,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,135,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,445,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,417,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,25,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,19,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,200,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,211,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,385,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,392,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,366,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,346,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,162,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,145,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,24,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,11,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,30,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,30,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,83,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,80,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
