Time,Value,MEASURE,Description
2009,145,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,157,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,152,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,149,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,147,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,57,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,18,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,225,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,231,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,226,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,222,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,222,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,17,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,24,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,12,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,15,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,12,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,6,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,6,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,6,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,5,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,5,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,23,CABEE_10,Business Entries - Total number of business entries (no.)
2010,33,CABEE_10,Business Entries - Total number of business entries (no.)
2011,18,CABEE_10,Business Entries - Total number of business entries (no.)
2012,23,CABEE_10,Business Entries - Total number of business entries (no.)
2013,17,CABEE_10,Business Entries - Total number of business entries (no.)
2009,23,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,18,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,19,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,18,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,17,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,5,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,4,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,5,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,5,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,31,CABEE_15,Business Exits - Total number of business exits (no.)
2010,25,CABEE_15,Business Exits - Total number of business exits (no.)
2011,25,CABEE_15,Business Exits - Total number of business exits (no.)
2012,23,CABEE_15,Business Exits - Total number of business exits (no.)
2013,22,CABEE_15,Business Exits - Total number of business exits (no.)
2012,104,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,103,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,0,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,7,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,7,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,0,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,26,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,24,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,3,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,4,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,8,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,8,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,7,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,6,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,9,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,10,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,0,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,7,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,8,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,13,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,11,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,13,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,13,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,3,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,4,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,0,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,0,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,0,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,3,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,0,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,0,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,8,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,8,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,5,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,6,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,222,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,221,CABEE_35,Number of Businesses by Industry - Total (no.)
2011,642,LF_2,Labour Force Statistics - Labour Force (no. )
2011,32,LF_3,Labour Force Statistics - Unemployed (no. )
2011,5,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,49.7,LF_5,Labour Force Statistics - Participation rate (%)
2011,0,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,0,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,13.8,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,13.8,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
