Time,Value,MEASURE,Description
2009,2038,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2170,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2164,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2219,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2208,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,840,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,350,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3161,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3317,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3352,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3414,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3398,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,337,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,404,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,302,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,319,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,278,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,87,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,103,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,106,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,87,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,85,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,21,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,30,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,28,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,21,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,445,CABEE_10,Business Entries - Total number of business entries (no.)
2010,537,CABEE_10,Business Entries - Total number of business entries (no.)
2011,436,CABEE_10,Business Entries - Total number of business entries (no.)
2012,427,CABEE_10,Business Entries - Total number of business entries (no.)
2013,378,CABEE_10,Business Entries - Total number of business entries (no.)
2009,371,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,307,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,319,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,361,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,314,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,67,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,53,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,55,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,78,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
