Time,Value,MEASURE,Description
2009,4536,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,4929,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,5111,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,5143,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,4865,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2010,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1453,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,7891,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,8311,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,8516,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,8656,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,8328,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,877,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,1044,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,925,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,815,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,696,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,284,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,319,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,298,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,327,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,279,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,94,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,82,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,93,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,81,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,54,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1255,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1445,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1316,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1223,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1029,CABEE_10,Business Entries - Total number of business entries (no.)
2009,969,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,755,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,850,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,895,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,982,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,197,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,182,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,170,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,193,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,240,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,116,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,89,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,91,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,97,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,62,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1282,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1026,CABEE_15,Business Exits - Total number of business exits (no.)
