Time,Value,MEASURE,Description
2009,364,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,380,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,369,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,366,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,360,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,137,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,44,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,531,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,543,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,543,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,538,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,541,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,45,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,63,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,44,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,43,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,33,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,11,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,13,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,15,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,10,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,15,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,5,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,59,CABEE_10,Business Entries - Total number of business entries (no.)
2010,79,CABEE_10,Business Entries - Total number of business entries (no.)
2011,64,CABEE_10,Business Entries - Total number of business entries (no.)
2012,56,CABEE_10,Business Entries - Total number of business entries (no.)
2013,48,CABEE_10,Business Entries - Total number of business entries (no.)
2009,68,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,50,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,60,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,79,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,51,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,13,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,12,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,4,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,8,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,9,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,5,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,4,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,86,CABEE_15,Business Exits - Total number of business exits (no.)
2010,66,CABEE_15,Business Exits - Total number of business exits (no.)
2011,64,CABEE_15,Business Exits - Total number of business exits (no.)
2012,90,CABEE_15,Business Exits - Total number of business exits (no.)
2013,63,CABEE_15,Business Exits - Total number of business exits (no.)
2012,169,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,166,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,4,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,23,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
