Time,Value,MEASURE,Description
2009,899,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,971,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,1003,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,1024,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1021,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,367,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,186,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1439,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1511,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1565,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1588,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1574,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,130,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,182,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,161,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,139,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,101,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,41,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,48,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,46,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,40,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,38,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,13,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,17,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,10,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,186,CABEE_10,Business Entries - Total number of business entries (no.)
2010,243,CABEE_10,Business Entries - Total number of business entries (no.)
2011,224,CABEE_10,Business Entries - Total number of business entries (no.)
2012,189,CABEE_10,Business Entries - Total number of business entries (no.)
2013,145,CABEE_10,Business Entries - Total number of business entries (no.)
2009,182,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,128,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,137,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,167,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,148,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,28,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,21,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,20,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,36,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,28,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,19,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,21,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,12,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,18,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,11,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,229,CABEE_15,Business Exits - Total number of business exits (no.)
2010,170,CABEE_15,Business Exits - Total number of business exits (no.)
2011,169,CABEE_15,Business Exits - Total number of business exits (no.)
2012,221,CABEE_15,Business Exits - Total number of business exits (no.)
2013,187,CABEE_15,Business Exits - Total number of business exits (no.)
2012,88,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,80,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,20,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,20,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,32,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,30,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,4,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,4,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,118,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,117,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,59,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,52,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,114,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,111,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,55,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,46,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,19,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,16,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,13,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,18,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,219,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,216,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,268,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,271,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,235,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,235,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,46,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,45,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,3,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,3,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,25,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,19,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,161,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,171,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,12,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,15,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,42,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,36,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,60,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,70,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,1590,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,1574,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,3,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,3,BANKRUPT_4,Bankruptcies - Total (no.)
2011,4451,LF_2,Labour Force Statistics - Labour Force (no. )
2011,159,LF_3,Labour Force Statistics - Unemployed (no. )
2011,3.6,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,56.9,LF_5,Labour Force Statistics - Participation rate (%)
2011,0.7,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,0.7,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,21.4,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,2.9,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,54.3,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.7,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,80.7,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,751,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,585,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,599,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,591,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,90,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,86,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,92,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,97,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,67,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,37,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,50,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,48,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,47,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,35,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,16,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,12,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,207,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,190,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,185,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,89,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,60,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,62,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,76,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,49.4,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,50,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,62.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,47.4,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,23,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,22,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,21,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,145,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,139,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,115,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,123,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2009,247,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,215,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,208,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,146,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,214,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,199,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,197,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,141,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,268,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,238,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,232,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,164,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,69371,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,77942,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,86033,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,294,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,323,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,370,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,4231,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,4148,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,4299,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,56190,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,66400,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2011,70511,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2009,53,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2010,60,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2011,67,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2009,952,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2010,899,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2011,946,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2009,29754,INCOME_8,Estimates of Personal Income - Average investment income ($)
2010,28011,INCOME_8,Estimates of Personal Income - Average investment income ($)
2011,29620,INCOME_8,Estimates of Personal Income - Average investment income ($)
2009,143,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2010,134,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2011,149,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2009,4798,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2010,4774,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
