Time,Value,MEASURE,Description
2009,4184,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,4457,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,4485,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,4467,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,4280,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1734,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1030,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,6645,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,6955,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,7062,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,7196,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,7044,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,825,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,961,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,805,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,748,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,627,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,267,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,251,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,287,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,296,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,261,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,67,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,77,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,76,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,70,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,40,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1159,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1289,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1168,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1114,CABEE_10,Business Entries - Total number of business entries (no.)
2013,928,CABEE_10,Business Entries - Total number of business entries (no.)
2009,866,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,739,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,831,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,863,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,891,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,156,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,173,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,156,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,150,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,205,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,86,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,68,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,75,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,69,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,56,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1108,CABEE_15,Business Exits - Total number of business exits (no.)
2010,980,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1062,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1082,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1152,CABEE_15,Business Exits - Total number of business exits (no.)
2012,242,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,224,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,61,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,56,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,594,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,557,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,37,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,22,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,1640,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,1529,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,288,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,273,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,448,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,406,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,204,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,196,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,596,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,577,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,34,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,31,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,394,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,405,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,665,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,670,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,720,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,706,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,303,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,291,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,41,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,29,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,88,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,88,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,213,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,229,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,77,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,80,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,353,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,330,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,268,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,350,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,7264,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,7048,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,50,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,49,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,19,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,18,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,70,BANKRUPT_4,Bankruptcies - Total (no.)
2013,67,BANKRUPT_4,Bankruptcies - Total (no.)
2011,48368,LF_2,Labour Force Statistics - Labour Force (no. )
2011,2074,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.3,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,68.2,LF_5,Labour Force Statistics - Participation rate (%)
2011,3.5,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.9,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,21.4,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,12.2,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,37.3,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.7,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,76.9,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,5796,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,6930,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,7257,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,7536,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,8,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,8,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,11,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,10,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,10,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,544,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,525,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,485,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,453,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,434,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,152,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,146,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,148,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,142,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,129,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,477,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,517,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,508,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,2434,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,2558,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,2473,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,1575,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,1414,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,1434,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,1940,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,54.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,58.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,60.4,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,61,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,1280,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
