Time,Value,MEASURE,Description
2009,764,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,825,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,843,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,839,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,903,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,323,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,127,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1193,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1264,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1275,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1268,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1353,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,136,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,165,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,122,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,108,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,129,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,40,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,28,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,33,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,30,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,34,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,7,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,11,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,9,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,183,CABEE_10,Business Entries - Total number of business entries (no.)
2010,204,CABEE_10,Business Entries - Total number of business entries (no.)
2011,158,CABEE_10,Business Entries - Total number of business entries (no.)
2012,147,CABEE_10,Business Entries - Total number of business entries (no.)
2013,169,CABEE_10,Business Entries - Total number of business entries (no.)
2009,158,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,104,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,115,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,157,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,128,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,32,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,22,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,25,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,29,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,22,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,8,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,6,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,10,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,199,CABEE_15,Business Exits - Total number of business exits (no.)
2010,134,CABEE_15,Business Exits - Total number of business exits (no.)
2011,146,CABEE_15,Business Exits - Total number of business exits (no.)
2012,195,CABEE_15,Business Exits - Total number of business exits (no.)
2013,160,CABEE_15,Business Exits - Total number of business exits (no.)
2012,67,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,70,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,21,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,17,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,31,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,30,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,105,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,104,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,29,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,30,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,73,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,75,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,49,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,45,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,15,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,16,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,16,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,12,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,213,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,272,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,196,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,194,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,220,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,226,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,28,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,29,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,3,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,13,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,13,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,108,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,118,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,11,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,12,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,25,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,22,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,43,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,63,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,1270,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,1352,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,3,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,3,BANKRUPT_4,Bankruptcies - Total (no.)
2011,3861,LF_2,Labour Force Statistics - Labour Force (no. )
2011,128,LF_3,Labour Force Statistics - Unemployed (no. )
2011,3.3,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,61.5,LF_5,Labour Force Statistics - Participation rate (%)
2011,0,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,2.8,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,23.2,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,5.8,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,50.6,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
