Time,Value,MEASURE,Description
2009,490,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,529,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,533,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,548,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,548,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,196,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,86,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,760,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,800,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,817,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,836,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,830,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,81,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,107,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,81,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,79,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,63,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,20,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,23,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,30,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,26,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,24,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,5,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,106,CABEE_10,Business Entries - Total number of business entries (no.)
2010,136,CABEE_10,Business Entries - Total number of business entries (no.)
2011,114,CABEE_10,Business Entries - Total number of business entries (no.)
2012,111,CABEE_10,Business Entries - Total number of business entries (no.)
2013,90,CABEE_10,Business Entries - Total number of business entries (no.)
2009,97,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,76,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,80,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,101,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,75,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,18,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,16,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,7,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,17,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,14,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
