Time,Value,MEASURE,Description
2009,2425,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2599,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2622,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2628,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2630,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1058,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,710,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,4239,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,4379,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,4412,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,4451,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,4398,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,385,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,508,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,414,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,408,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,345,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,143,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,129,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,130,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,142,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,132,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,61,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,44,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,45,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,32,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,22,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,589,CABEE_10,Business Entries - Total number of business entries (no.)
2010,681,CABEE_10,Business Entries - Total number of business entries (no.)
2011,589,CABEE_10,Business Entries - Total number of business entries (no.)
2012,582,CABEE_10,Business Entries - Total number of business entries (no.)
2013,499,CABEE_10,Business Entries - Total number of business entries (no.)
2009,479,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,403,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,428,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,451,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,418,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,98,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,75,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
