Time,Value,MEASURE,Description
2009,488,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,501,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,498,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,484,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,456,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,142,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,53,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,707,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,709,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,700,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,682,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,651,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,55,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,70,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,58,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,43,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,39,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,19,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,8,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,17,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,11,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,11,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,5,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,79,CABEE_10,Business Entries - Total number of business entries (no.)
2010,82,CABEE_10,Business Entries - Total number of business entries (no.)
2011,79,CABEE_10,Business Entries - Total number of business entries (no.)
2012,58,CABEE_10,Business Entries - Total number of business entries (no.)
2013,50,CABEE_10,Business Entries - Total number of business entries (no.)
2009,80,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,63,CABEE_12,Business Exits - Number of non employing business exits (no.)
