Time,Value,MEASURE,Description
2009,4223,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,4491,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,4538,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,4443,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,4182,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1581,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,719,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,6455,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,6749,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,6766,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,6738,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,6482,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,894,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,994,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,826,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,755,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,625,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,265,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,248,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,231,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,242,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,243,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,65,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,66,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,50,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,70,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,37,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1224,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1308,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1107,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1067,CABEE_10,Business Entries - Total number of business entries (no.)
2013,905,CABEE_10,Business Entries - Total number of business entries (no.)
2009,964,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,769,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,856,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,1002,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,960,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,185,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,177,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,172,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,192,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,167,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,67,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,67,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,62,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,66,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,42,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1216,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1013,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1090,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1260,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1169,CABEE_15,Business Exits - Total number of business exits (no.)
2012,122,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,103,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,27,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,26,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,372,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,346,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,25,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,24,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,1592,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,1479,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,240,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,213,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,481,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,441,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,230,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,234,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,999,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,974,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,35,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,32,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,282,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,270,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,437,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,429,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,555,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,510,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,337,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,322,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,30,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,28,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,58,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,60,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,202,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,209,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,52,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,49,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,431,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,430,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,240,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,306,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,6747,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,6485,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,70,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,46,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,17,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,15,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,87,BANKRUPT_4,Bankruptcies - Total (no.)
2013,61,BANKRUPT_4,Bankruptcies - Total (no.)
2011,54014,LF_2,Labour Force Statistics - Labour Force (no. )
2011,2943,LF_3,Labour Force Statistics - Unemployed (no. )
2011,5.5,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,64.3,LF_5,Labour Force Statistics - Participation rate (%)
2011,2.6,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.4,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,17.7,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,11.9,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,39.8,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.6,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,74.1,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,7721,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,8747,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,8736,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,9094,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,12,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,14,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,13,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,13,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,11,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,727,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,709,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,663,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,614,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,584,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,168,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,160,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,160,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,166,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,161,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,624,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,729,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,770,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,2997,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,3027,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,2914,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,2616,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,2363,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,2424,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,3099,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,54,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,58.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,58.5,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,61.1,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,1905,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,1934,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,2004,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,1576,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,1215,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,1440,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,1137,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,1057,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2010,411,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2011,437,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2012,398,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2013,543,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2009,10959,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,11081,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,10511,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,9329,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,9218,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,9546,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,9336,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,8515,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,11362,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,11510,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,11075,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,9973,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,46379,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,47955,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,51566,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,2424,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,2513,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,2783,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,52255,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,52396,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,53968,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,22451,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,21697,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
