Time,Value,MEASURE,Description
2009,1033,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,1074,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,1048,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,1084,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1046,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,368,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,171,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1635,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1671,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1642,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1655,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1585,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,172,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,177,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,135,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,150,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,110,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,59,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,54,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,48,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,42,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,40,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,14,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,11,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,12,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,12,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,245,CABEE_10,Business Entries - Total number of business entries (no.)
2010,242,CABEE_10,Business Entries - Total number of business entries (no.)
2011,195,CABEE_10,Business Entries - Total number of business entries (no.)
2012,204,CABEE_10,Business Entries - Total number of business entries (no.)
2013,156,CABEE_10,Business Entries - Total number of business entries (no.)
2009,221,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,166,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,188,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,198,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,191,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,44,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,31,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,26,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,36,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,44,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,18,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,10,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,283,CABEE_15,Business Exits - Total number of business exits (no.)
2010,206,CABEE_15,Business Exits - Total number of business exits (no.)
2011,224,CABEE_15,Business Exits - Total number of business exits (no.)
2012,243,CABEE_15,Business Exits - Total number of business exits (no.)
2013,238,CABEE_15,Business Exits - Total number of business exits (no.)
2012,334,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,335,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,12,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,13,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,77,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,76,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,11,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,12,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,350,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,317,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,32,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,29,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,102,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,97,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,45,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,44,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,72,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,62,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,7,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,3,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,97,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,99,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,120,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,117,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,127,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,127,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,42,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,42,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,3,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,3,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,20,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,16,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,51,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,49,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,13,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,13,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,83,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,78,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,62,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,54,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,1660,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,1586,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,10,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,20,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,7,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,8,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,17,BANKRUPT_4,Bankruptcies - Total (no.)
2013,28,BANKRUPT_4,Bankruptcies - Total (no.)
2011,11476,LF_2,Labour Force Statistics - Labour Force (no. )
2011,534,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.7,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,64.1,LF_5,Labour Force Statistics - Participation rate (%)
2011,4.4,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,2.5,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,18,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,12.1,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,37.8,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.4,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,75.1,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,1688,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,1865,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,1989,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,2128,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,6,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,6,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,5,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,5,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,5,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,204,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,183,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,182,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,166,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,144,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,32,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,35,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,35,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,36,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,37,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,123,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
