Time,Value,MEASURE,Description
2009,8656,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,9113,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,9063,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,8890,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,8570,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,3299,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1219,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,13153,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,13620,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,13633,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,13485,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,13088,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,1599,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,1799,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,1463,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,1316,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,1221,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,455,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,468,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,448,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,424,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,417,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,101,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,96,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,108,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,90,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,26,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,2155,CABEE_10,Business Entries - Total number of business entries (no.)
2010,2363,CABEE_10,Business Entries - Total number of business entries (no.)
2011,2019,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1830,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1664,CABEE_10,Business Entries - Total number of business entries (no.)
2009,1845,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,1500,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,1625,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,1791,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,1630,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,378,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,279,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,278,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,315,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,337,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,106,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,116,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,103,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,110,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,54,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,2329,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1895,CABEE_15,Business Exits - Total number of business exits (no.)
2011,2006,CABEE_15,Business Exits - Total number of business exits (no.)
2012,2216,CABEE_15,Business Exits - Total number of business exits (no.)
2013,2021,CABEE_15,Business Exits - Total number of business exits (no.)
2012,262,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,244,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,97,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,86,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,448,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,406,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,46,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,35,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,3696,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,3549,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,368,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,353,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,811,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,778,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,407,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,375,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,676,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,612,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,113,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,89,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,1064,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,1092,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,1051,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,1033,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,1956,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,1873,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,503,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,479,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,62,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,48,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,183,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,176,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,620,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,639,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,147,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,141,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,620,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,559,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,377,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,520,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,13506,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,13086,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,61,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,46,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,36,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,29,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,97,BANKRUPT_4,Bankruptcies - Total (no.)
2013,75,BANKRUPT_4,Bankruptcies - Total (no.)
2011,86363,LF_2,Labour Force Statistics - Labour Force (no. )
2011,3337,LF_3,Labour Force Statistics - Unemployed (no. )
2011,3.9,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,70.2,LF_5,Labour Force Statistics - Participation rate (%)
2011,3.1,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.8,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,28.9,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,9.9,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,37.9,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
