Time,Value,MEASURE,Description
2009,872,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,925,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,879,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,890,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,858,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,288,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,185,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1335,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1380,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1368,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1384,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1331,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,185,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,224,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,166,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,166,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,155,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,55,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,44,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,63,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,61,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,39,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,22,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,24,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,21,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,11,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,255,CABEE_10,Business Entries - Total number of business entries (no.)
2010,290,CABEE_10,Business Entries - Total number of business entries (no.)
2011,253,CABEE_10,Business Entries - Total number of business entries (no.)
2012,248,CABEE_10,Business Entries - Total number of business entries (no.)
2013,205,CABEE_10,Business Entries - Total number of business entries (no.)
2009,219,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,173,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,205,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,239,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,226,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,29,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,45,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,40,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,48,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,46,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,19,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,22,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,16,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,18,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,12,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,267,CABEE_15,Business Exits - Total number of business exits (no.)
2010,240,CABEE_15,Business Exits - Total number of business exits (no.)
2011,261,CABEE_15,Business Exits - Total number of business exits (no.)
2012,305,CABEE_15,Business Exits - Total number of business exits (no.)
2013,284,CABEE_15,Business Exits - Total number of business exits (no.)
2012,39,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,34,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,21,CABEE_28,Number of Businesses by Industry - Mining (no.)
