Time,Value,MEASURE,Description
2009,2803,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2896,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2916,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2810,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2622,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1185,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,565,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,4565,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,4642,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,4655,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,4620,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,4372,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,535,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,587,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,528,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,467,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,342,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,160,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,174,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,154,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,210,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,165,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,49,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,56,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,60,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,47,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,22,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,744,CABEE_10,Business Entries - Total number of business entries (no.)
2010,817,CABEE_10,Business Entries - Total number of business entries (no.)
2011,742,CABEE_10,Business Entries - Total number of business entries (no.)
