Time,Value,MEASURE,Description
2009,6262,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,6712,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,6685,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,6727,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,6676,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2541,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1019,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,9786,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,10240,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,10280,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,10379,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,10236,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,1146,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,1298,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,983,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,1019,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,892,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,303,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,342,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,338,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,294,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,292,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,87,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,82,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,96,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,83,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,37,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1536,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1722,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1417,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1396,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1221,CABEE_10,Business Entries - Total number of business entries (no.)
2009,1187,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,945,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,1107,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,1209,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,1049,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,251,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,229,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,198,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,224,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,255,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,103,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,96,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,71,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,107,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,62,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1541,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1270,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1376,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1540,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1366,CABEE_15,Business Exits - Total number of business exits (no.)
2012,287,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,263,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,107,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,92,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,344,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,313,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,19,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,16,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,1443,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,1326,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,420,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,391,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,574,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,544,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,297,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,281,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,428,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,420,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,87,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,81,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,1207,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,1269,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,1377,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,1389,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,1718,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,1661,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,361,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,346,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,29,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,28,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,137,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,130,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,736,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,774,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,110,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,102,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,352,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,331,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,366,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,477,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,10400,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,10234,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,31,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,26,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,20,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,18,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,50,BANKRUPT_4,Bankruptcies - Total (no.)
2013,44,BANKRUPT_4,Bankruptcies - Total (no.)
2011,50450,LF_2,Labour Force Statistics - Labour Force (no. )
2011,2075,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.1,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,63.5,LF_5,Labour Force Statistics - Participation rate (%)
2011,1.9,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.6,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,27,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,6,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,48.1,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.4,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,85.1,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,7101,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,9088,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,8970,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,9129,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,42,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,40,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,38,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,38,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,31,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,1269,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,1160,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,1045,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,950,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,854,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
