Time,Value,MEASURE,Description
2009,691,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,754,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,780,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,785,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,763,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,249,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,93,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1031,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1091,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1124,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1123,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1105,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,120,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,145,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,115,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,117,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,98,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,25,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,32,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,36,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,23,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,25,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,8,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,12,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,7,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,151,CABEE_10,Business Entries - Total number of business entries (no.)
2010,185,CABEE_10,Business Entries - Total number of business entries (no.)
2011,163,CABEE_10,Business Entries - Total number of business entries (no.)
2012,147,CABEE_10,Business Entries - Total number of business entries (no.)
2013,126,CABEE_10,Business Entries - Total number of business entries (no.)
2009,125,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,94,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,104,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,123,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,125,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,19,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,23,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,17,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,25,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,15,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,10,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,9,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,12,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,7,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,154,CABEE_15,Business Exits - Total number of business exits (no.)
2010,126,CABEE_15,Business Exits - Total number of business exits (no.)
2011,130,CABEE_15,Business Exits - Total number of business exits (no.)
2012,160,CABEE_15,Business Exits - Total number of business exits (no.)
2013,147,CABEE_15,Business Exits - Total number of business exits (no.)
2012,76,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,67,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,25,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,28,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,19,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,21,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,80,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,76,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,34,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,30,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,58,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,53,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,41,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,37,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,20,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,21,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,5,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,4,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,172,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,174,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,183,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,179,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,201,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,201,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,25,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,24,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,14,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,14,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,88,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,87,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,15,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,14,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,25,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,25,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,37,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,49,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,1123,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,1106,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,3,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,3,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,6,BANKRUPT_4,Bankruptcies - Total (no.)
2013,5,BANKRUPT_4,Bankruptcies - Total (no.)
2011,4309,LF_2,Labour Force Statistics - Labour Force (no. )
2011,187,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.3,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,60.5,LF_5,Labour Force Statistics - Participation rate (%)
2011,0.4,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.2,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,20.4,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,3.8,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,59.4,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.6,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,85.8,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,678,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,627,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,624,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,614,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,67,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,66,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,66,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,58,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,48,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,35,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,26,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,26,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,23,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,24,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,23,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,21,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,28,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,239,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,240,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,241,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,134,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,111,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,109,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,128,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,53.7,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,58.6,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,64.2,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,59.4,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,41,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,37,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,39,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,34,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,135,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,116,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,94,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,105,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2009,259,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,249,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,226,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,184,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,238,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,248,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,224,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,170,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,280,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,278,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,250,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,199,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,63461,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,69332,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,73571,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
