Time,Value,MEASURE,Description
2009,747,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,763,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,738,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,714,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,675,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,292,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,122,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1116,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1140,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1123,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1111,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1089,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,123,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,134,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,106,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,96,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,66,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,29,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,37,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,31,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,37,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,39,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,8,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,8,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,9,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,160,CABEE_10,Business Entries - Total number of business entries (no.)
2010,186,CABEE_10,Business Entries - Total number of business entries (no.)
2011,145,CABEE_10,Business Entries - Total number of business entries (no.)
2012,142,CABEE_10,Business Entries - Total number of business entries (no.)
2013,108,CABEE_10,Business Entries - Total number of business entries (no.)
2009,177,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,134,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,136,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,158,CABEE_12,Business Exits - Number of non employing business exits (no.)
