Time,Value,MEASURE,Description
2009,2011,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2220,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2194,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2235,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2195,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,806,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,340,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3166,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3337,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3337,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3406,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3341,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,299,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,411,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,275,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,281,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,248,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,82,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,84,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,88,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,70,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,69,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,23,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,24,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,22,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,23,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,9,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,404,CABEE_10,Business Entries - Total number of business entries (no.)
2010,519,CABEE_10,Business Entries - Total number of business entries (no.)
2011,385,CABEE_10,Business Entries - Total number of business entries (no.)
2012,374,CABEE_10,Business Entries - Total number of business entries (no.)
2013,326,CABEE_10,Business Entries - Total number of business entries (no.)
2009,353,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,266,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,318,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,350,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,316,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,62,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,54,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,47,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,75,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,63,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,25,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,30,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,20,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,29,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,15,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,440,CABEE_15,Business Exits - Total number of business exits (no.)
2010,350,CABEE_15,Business Exits - Total number of business exits (no.)
2011,385,CABEE_15,Business Exits - Total number of business exits (no.)
2012,454,CABEE_15,Business Exits - Total number of business exits (no.)
2013,394,CABEE_15,Business Exits - Total number of business exits (no.)
2012,137,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,121,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,74,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,72,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,73,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,69,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,8,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,9,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,220,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,215,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,98,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,87,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,171,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,168,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,93,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,91,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,37,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,33,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,21,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,20,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,510,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,507,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,540,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,527,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,602,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,587,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,93,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,88,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,5,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,5,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,45,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,41,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,486,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,487,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,30,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,30,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,48,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,43,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,114,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,139,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,3407,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,3342,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,7,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,3,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,10,BANKRUPT_4,Bankruptcies - Total (no.)
2013,6,BANKRUPT_4,Bankruptcies - Total (no.)
2011,10104,LF_2,Labour Force Statistics - Labour Force (no. )
2011,383,LF_3,Labour Force Statistics - Unemployed (no. )
2011,3.8,LF_4,Labour Force Statistics - Unemployment rate (%)
