Time,Value,MEASURE,Description
2009,527,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,559,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,545,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,517,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,502,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,209,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,112,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,885,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,895,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,876,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,855,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,823,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,83,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,88,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,57,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,59,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,57,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,30,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,19,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,24,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,25,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,20,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,12,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,5,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,7,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,6,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,125,CABEE_10,Business Entries - Total number of business entries (no.)
2010,112,CABEE_10,Business Entries - Total number of business entries (no.)
2011,88,CABEE_10,Business Entries - Total number of business entries (no.)
2012,90,CABEE_10,Business Entries - Total number of business entries (no.)
2013,81,CABEE_10,Business Entries - Total number of business entries (no.)
2009,89,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,74,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,84,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,96,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,80,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,20,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,20,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,15,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,19,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,26,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,4,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,8,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,8,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
