Time,Value,MEASURE,Description
2009,123,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,134,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,139,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,139,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,136,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,44,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,17,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,184,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,194,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,199,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,199,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,197,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,21,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,26,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,21,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,21,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,18,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,4,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,6,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,6,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,4,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,4,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,25,CABEE_10,Business Entries - Total number of business entries (no.)
2010,32,CABEE_10,Business Entries - Total number of business entries (no.)
2011,30,CABEE_10,Business Entries - Total number of business entries (no.)
2012,28,CABEE_10,Business Entries - Total number of business entries (no.)
2013,22,CABEE_10,Business Entries - Total number of business entries (no.)
2009,22,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,17,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,19,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,22,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,22,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,4,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,4,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,28,CABEE_15,Business Exits - Total number of business exits (no.)
2010,21,CABEE_15,Business Exits - Total number of business exits (no.)
2011,25,CABEE_15,Business Exits - Total number of business exits (no.)
2012,29,CABEE_15,Business Exits - Total number of business exits (no.)
2013,28,CABEE_15,Business Exits - Total number of business exits (no.)
2012,13,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,12,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,5,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,5,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,3,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,4,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,0,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,0,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,14,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,13,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,6,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,5,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,10,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,9,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,7,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,6,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,4,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,4,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,0,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,0,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,31,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,31,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,33,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,32,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,36,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,36,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,5,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,4,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,0,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,0,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,16,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,16,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,0,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,0,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,5,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,5,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,7,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,9,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,200,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,197,CABEE_35,Number of Businesses by Industry - Total (no.)
2011,624,LF_2,Labour Force Statistics - Labour Force (no. )
2011,19,LF_3,Labour Force Statistics - Unemployed (no. )
2011,3,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,50.6,LF_5,Labour Force Statistics - Participation rate (%)
2011,0,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.6,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,10.9,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,1.6,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,71.2,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,1.6,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,87,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,184,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,70,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,23,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,25,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2010,7,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,7,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,14,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,11,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2011,21,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2009,17,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,20,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,16,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,8,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,15,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,18,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,14,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,6,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,19,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,23,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,16,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,8,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,75730,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,84378,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,93569,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,52,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,59,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,69,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,693,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,701,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,734,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,66062,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,75811,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2011,84747,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2009,13,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2010,15,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2011,17,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2009,191,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2010,199,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2011,196,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2009,43539,INCOME_8,Estimates of Personal Income - Average investment income ($)
2010,46661,INCOME_8,Estimates of Personal Income - Average investment income ($)
2011,50748,INCOME_8,Estimates of Personal Income - Average investment income ($)
2009,36,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2010,40,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2011,45,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2009,830,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2010,851,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2011,894,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2009,39157,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2010,39117,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2011,36241,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2009,2,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2010,2,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2011,2,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2009,43,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2010,45,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2011,48,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2009,14741,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2010,8737,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2011,5618,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2009,3,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2010,2,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2011,2,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2009,214,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2010,228,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2011,281,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2009,104198,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2010,113936,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2011,125446,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
2009,106,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2010,118,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2011,134,INCOME_18,Estimates of Personal Income - Total income (excl. Government pensions and allowances) ($m)
2009,1018,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2010,1033,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2011,1068,INCOME_19,Estimates of Personal Income - Total no. income earners (excl. Government pensions and allowances) (no.)
2009,52.2,WAGE_2,Wage and Salary Earners - Males (%)
2010,52.2,WAGE_2,Wage and Salary Earners - Males (%)
2011,52.3,WAGE_2,Wage and Salary Earners - Males (%)
2009,47.8,WAGE_3,Wage and Salary Earners - Females (%)
2010,47.8,WAGE_3,Wage and Salary Earners - Females (%)
2011,47.8,WAGE_3,Wage and Salary Earners - Females (%)
2009,73,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2010,66,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2011,68,WAGE_6,Wage and Salary Earners - Males - Aged 15-24 years (no.)
2009,86,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
2010,80,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
2011,93,WAGE_7,Wage and Salary Earners - Males - Aged 25-34 years (no.)
