Time,Value,MEASURE,Description
2009,5034,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,5988,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,6265,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,5419,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,5276,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2088,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1548,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,9463,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,9769,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,9915,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,9055,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,8912,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,809,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,902,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,868,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,774,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,666,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,359,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,376,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,280,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,293,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,286,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,139,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,113,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,110,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,105,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,79,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1307,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1391,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1258,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1172,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1031,CABEE_10,Business Entries - Total number of business entries (no.)
2009,811,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,770,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,854,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,822,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,895,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,218,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,169,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,154,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,196,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,215,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,117,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,148,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,104,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,117,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,76,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1146,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1087,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1112,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1135,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1186,CABEE_15,Business Exits - Total number of business exits (no.)
2012,152,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,155,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,605,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,609,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,219,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,220,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,31,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,32,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,709,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,710,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,220,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,221,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,395,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,386,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,426,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,444,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,146,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,146,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,89,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,89,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,1789,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,1608,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,1298,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,1288,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,1529,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,1495,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,363,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,357,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,20,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,17,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,98,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,86,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,346,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,341,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,53,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,56,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
