Time,Value,MEASURE,Description
2009,3439,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,3568,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,3457,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,3352,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,3109,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1272,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,611,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,5264,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,5431,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,5336,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,5231,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,4992,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,753,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,814,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,690,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,670,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,505,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,201,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,227,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,207,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,211,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,210,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,63,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,60,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,62,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,53,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,30,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1017,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1101,CABEE_10,Business Entries - Total number of business entries (no.)
2011,959,CABEE_10,Business Entries - Total number of business entries (no.)
2012,934,CABEE_10,Business Entries - Total number of business entries (no.)
2013,745,CABEE_10,Business Entries - Total number of business entries (no.)
2009,878,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,727,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,846,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,929,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,838,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,144,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,134,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,138,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,166,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,166,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,75,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,71,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,65,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,59,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,51,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1097,CABEE_15,Business Exits - Total number of business exits (no.)
2010,932,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1049,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1154,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1055,CABEE_15,Business Exits - Total number of business exits (no.)
