Time,Value,MEASURE,Description
2009,1108,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,1144,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,1137,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,1154,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1122,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,423,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,158,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,1708,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,1758,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,1723,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,1738,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,1703,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,175,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,213,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,155,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,163,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,129,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,66,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,60,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,43,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,43,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,47,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,13,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,11,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,10,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,15,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,254,CABEE_10,Business Entries - Total number of business entries (no.)
2010,284,CABEE_10,Business Entries - Total number of business entries (no.)
2011,208,CABEE_10,Business Entries - Total number of business entries (no.)
2012,221,CABEE_10,Business Entries - Total number of business entries (no.)
2013,176,CABEE_10,Business Entries - Total number of business entries (no.)
2009,221,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,179,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,177,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,190,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,213,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,35,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,39,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,50,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,37,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,40,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,19,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,14,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,16,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,16,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,12,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,275,CABEE_15,Business Exits - Total number of business exits (no.)
2010,232,CABEE_15,Business Exits - Total number of business exits (no.)
2011,243,CABEE_15,Business Exits - Total number of business exits (no.)
2012,243,CABEE_15,Business Exits - Total number of business exits (no.)
2013,265,CABEE_15,Business Exits - Total number of business exits (no.)
2012,226,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,222,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,13,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,11,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,81,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,84,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,9,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,9,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,457,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,439,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,49,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,45,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
