Time,Value,MEASURE,Description
2009,2916,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,3176,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,3132,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,3266,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,3148,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1139,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,486,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,4491,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,4738,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,4745,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,4914,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,4773,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,529,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,669,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,500,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,571,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,432,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,136,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,149,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,160,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,172,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,146,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,50,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,42,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,42,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,27,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,22,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,715,CABEE_10,Business Entries - Total number of business entries (no.)
2010,860,CABEE_10,Business Entries - Total number of business entries (no.)
2011,702,CABEE_10,Business Entries - Total number of business entries (no.)
2012,770,CABEE_10,Business Entries - Total number of business entries (no.)
2013,600,CABEE_10,Business Entries - Total number of business entries (no.)
2009,607,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,493,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,583,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,602,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,555,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,134,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,78,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,81,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,128,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,104,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,48,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,42,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,32,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,53,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,34,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,789,CABEE_15,Business Exits - Total number of business exits (no.)
2010,613,CABEE_15,Business Exits - Total number of business exits (no.)
2011,696,CABEE_15,Business Exits - Total number of business exits (no.)
2012,783,CABEE_15,Business Exits - Total number of business exits (no.)
2013,693,CABEE_15,Business Exits - Total number of business exits (no.)
2012,128,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,126,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,107,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,92,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,99,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,87,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,15,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,10,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,568,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,515,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,161,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,146,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,242,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,218,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,138,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,141,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,192,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,179,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,37,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,37,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,717,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,758,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,647,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,623,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,924,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,876,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,193,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,194,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,10,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,11,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,50,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,48,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,325,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,326,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,57,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,56,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,110,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,110,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,201,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,225,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,4917,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,4775,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,15,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,8,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,8,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,8,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,23,BANKRUPT_4,Bankruptcies - Total (no.)
2013,16,BANKRUPT_4,Bankruptcies - Total (no.)
2011,22366,LF_2,Labour Force Statistics - Labour Force (no. )
2011,1033,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.6,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,64.1,LF_5,Labour Force Statistics - Participation rate (%)
2011,1.5,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.4,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,24.5,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,5.2,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,52.3,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.5,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,85.4,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,2700,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,2852,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,2953,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,2941,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,13,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2010,15,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2011,14,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2012,9,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2013,6,PENSION_3,Selected Government Pensions and Allowances - Age Pension - DVA (no.)
2009,400,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,359,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,328,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,301,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,265,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,192,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,189,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,172,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,171,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,141,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,98,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,117,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,111,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,737,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,760,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,719,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,508,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,485,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,494,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,601,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,56.3,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,55.5,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,57.1,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,63.6,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,304,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,288,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,284,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,183,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,746,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,794,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,747,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,689,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2010,81,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2011,66,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
