Time,Value,MEASURE,Description
2009,12274,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,13145,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,13383,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,13476,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,13072,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,4716,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,2337,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,19069,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,19981,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,20331,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,20642,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,20125,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,2395,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,2733,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,2249,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,2131,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,1821,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,622,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,667,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,666,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,693,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,621,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,164,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,170,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,182,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,184,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,100,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
