Time,Value,MEASURE,Description
2009,2625,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2838,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2929,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2977,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2949,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,1183,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,707,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,4451,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,4685,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,4811,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,4872,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,4839,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,432,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,546,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,448,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,427,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,393,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,130,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,134,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,150,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,125,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,122,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,51,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,49,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,50,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,49,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,24,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,613,CABEE_10,Business Entries - Total number of business entries (no.)
2010,729,CABEE_10,Business Entries - Total number of business entries (no.)
2011,648,CABEE_10,Business Entries - Total number of business entries (no.)
2012,601,CABEE_10,Business Entries - Total number of business entries (no.)
2013,539,CABEE_10,Business Entries - Total number of business entries (no.)
2009,477,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,371,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,411,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,408,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,448,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,115,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,81,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,61,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,89,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,95,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,53,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,43,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,50,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,43,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,23,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,645,CABEE_15,Business Exits - Total number of business exits (no.)
2010,495,CABEE_15,Business Exits - Total number of business exits (no.)
2011,522,CABEE_15,Business Exits - Total number of business exits (no.)
2012,540,CABEE_15,Business Exits - Total number of business exits (no.)
2013,566,CABEE_15,Business Exits - Total number of business exits (no.)
2012,149,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,134,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,224,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,226,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,93,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,86,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,7,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,7,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,389,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,384,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,128,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,116,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,248,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,234,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,131,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,135,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,70,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,61,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,50,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,45,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,754,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,785,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,719,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,696,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,995,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,971,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,150,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,145,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,9,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,9,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,52,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,46,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,411,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,407,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,49,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,43,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,86,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,84,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,157,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,224,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,4872,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,4838,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,4,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,6,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,4,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,8,BANKRUPT_4,Bankruptcies - Total (no.)
2013,6,BANKRUPT_4,Bankruptcies - Total (no.)
2011,9482,LF_2,Labour Force Statistics - Labour Force (no. )
2011,419,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4.4,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,62.5,LF_5,Labour Force Statistics - Participation rate (%)
2011,0.3,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,0.6,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,26.3,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,3.3,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,55.8,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.3,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,86.6,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,992,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,1017,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,1172,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
