Time,Value,MEASURE,Description
2009,5723,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,6035,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,6025,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,6043,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,5785,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2362,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1400,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,9475,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,9787,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,9838,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,9846,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,9547,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,1118,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,1214,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,1023,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,911,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,758,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,363,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,345,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,344,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,315,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,289,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,93,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,94,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,112,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,108,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,55,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1574,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1653,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1479,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1334,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1102,CABEE_10,Business Entries - Total number of business entries (no.)
2009,1212,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,1027,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,1102,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,1107,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,1127,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,248,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,220,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,205,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,243,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,262,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,127,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,94,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,120,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,97,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
