Time,Value,MEASURE,Description
2009,292,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,292,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,295,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,271,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,265,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,101,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,27,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,428,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,420,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,434,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,408,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,393,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,34,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,47,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,43,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,32,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,26,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,14,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,8,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,13,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,7,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,12,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,51,CABEE_10,Business Entries - Total number of business entries (no.)
2010,58,CABEE_10,Business Entries - Total number of business entries (no.)
2011,59,CABEE_10,Business Entries - Total number of business entries (no.)
2012,42,CABEE_10,Business Entries - Total number of business entries (no.)
2013,38,CABEE_10,Business Entries - Total number of business entries (no.)
2009,58,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,49,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,36,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,63,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,41,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,8,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,13,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,7,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,10,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,12,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,69,CABEE_15,Business Exits - Total number of business exits (no.)
2010,65,CABEE_15,Business Exits - Total number of business exits (no.)
2011,46,CABEE_15,Business Exits - Total number of business exits (no.)
2012,76,CABEE_15,Business Exits - Total number of business exits (no.)
2013,53,CABEE_15,Business Exits - Total number of business exits (no.)
2012,90,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,95,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,5,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,5,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,19,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,19,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,84,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,75,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,14,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,11,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,25,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,24,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,10,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,8,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,45,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,42,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,3,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,3,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,14,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,15,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,18,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,15,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,32,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,28,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,10,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,9,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,3,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,3,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,3,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,3,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,23,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,26,CABEE_30,Number of Businesses by Industry - Other services (no.)
