Time,Value,MEASURE,Description
2009,1892,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,2069,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,2177,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,2169,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2109,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,856,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,492,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,3144,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,3327,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,3472,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,3522,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,3457,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,391,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,497,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,466,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,387,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,340,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,135,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,126,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,139,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,168,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,147,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,40,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,47,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,46,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,38,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,27,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,566,CABEE_10,Business Entries - Total number of business entries (no.)
2010,670,CABEE_10,Business Entries - Total number of business entries (no.)
2011,651,CABEE_10,Business Entries - Total number of business entries (no.)
2012,593,CABEE_10,Business Entries - Total number of business entries (no.)
2013,514,CABEE_10,Business Entries - Total number of business entries (no.)
2009,399,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,367,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,407,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,393,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,438,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,85,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,73,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,63,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,87,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,98,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,52,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,47,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,37,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,35,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,28,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,536,CABEE_15,Business Exits - Total number of business exits (no.)
2010,487,CABEE_15,Business Exits - Total number of business exits (no.)
2011,507,CABEE_15,Business Exits - Total number of business exits (no.)
2012,515,CABEE_15,Business Exits - Total number of business exits (no.)
2013,564,CABEE_15,Business Exits - Total number of business exits (no.)
2012,57,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,46,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,60,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,58,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,151,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,140,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,12,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,10,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,527,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,473,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,155,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,147,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,238,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,223,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,159,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,167,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,256,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,250,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,27,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,26,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,263,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,269,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,381,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,387,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,537,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,508,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,158,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,159,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,13,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,17,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,53,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,52,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,125,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,137,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,45,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,45,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,151,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,139,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,153,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,203,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,3522,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,3457,CABEE_35,Number of Businesses by Industry - Total (no.)
