Time,Value,MEASURE,Description
2009,4639,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,5370,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,5543,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,5083,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,4930,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2024,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1342,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,8441,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,8784,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,8879,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,8468,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,8296,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,784,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,919,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,787,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,799,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,669,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,314,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,334,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,262,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,287,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,243,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,112,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,90,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,103,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,103,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,74,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,1210,CABEE_10,Business Entries - Total number of business entries (no.)
2010,1343,CABEE_10,Business Entries - Total number of business entries (no.)
2011,1152,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1189,CABEE_10,Business Entries - Total number of business entries (no.)
2013,986,CABEE_10,Business Entries - Total number of business entries (no.)
2009,786,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,725,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,822,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,797,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,873,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,202,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,158,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,147,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,168,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,203,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,106,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,116,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,88,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,98,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,69,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1094,CABEE_15,Business Exits - Total number of business exits (no.)
2010,999,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1057,CABEE_15,Business Exits - Total number of business exits (no.)
2012,1063,CABEE_15,Business Exits - Total number of business exits (no.)
2013,1145,CABEE_15,Business Exits - Total number of business exits (no.)
2012,143,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,151,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,400,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,397,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,204,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,204,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,21,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,23,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,788,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,753,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,202,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,196,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,441,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,421,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,403,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,418,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,176,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,170,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,96,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2013,101,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,1332,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,1233,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,1187,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,1171,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,1544,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,1496,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,348,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,329,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,24,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2013,24,CABEE_32,Number of Businesses by Industry - Public administration and safety (no.)
2012,101,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2013,99,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,408,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,408,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,74,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,71,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,213,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,204,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,366,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,427,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,8469,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,8296,CABEE_35,Number of Businesses by Industry - Total (no.)
2012,8,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2013,14,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,5,BANKRUPT_3,Bankruptcies - Business related (no.)
2013,9,BANKRUPT_3,Bankruptcies - Business related (no.)
2012,14,BANKRUPT_4,Bankruptcies - Total (no.)
2013,22,BANKRUPT_4,Bankruptcies - Total (no.)
2011,18700,LF_2,Labour Force Statistics - Labour Force (no. )
2011,748,LF_3,Labour Force Statistics - Unemployed (no. )
2011,4,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,68.8,LF_5,Labour Force Statistics - Participation rate (%)
2011,1.7,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.4,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,24.7,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,6.5,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,44,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,0.3,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,78.7,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,1204,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,2395,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,2386,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,2358,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,152,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,128,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,122,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,113,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,112,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,61,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,47,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,51,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,50,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,43,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,82,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,84,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,95,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,982,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,843,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,847,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,671,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,559,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,530,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,627,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,57.2,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,63,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,60.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,61.7,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,168,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,160,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,146,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,118,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2010,469,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2011,452,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2012,360,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2013,325,PENSION_11,Selected Government Pensions and Allowances - Youth Allowance (Full time students/apprentices) (no.)
2010,49,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2011,34,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2012,37,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2013,56,PENSION_12,Selected Government Pensions and Allowances - Youth Allowance (Other) (no.)
2009,1201,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,1127,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,1070,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,827,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,1049,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,1031,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,1023,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,823,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,1302,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,1243,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,1197,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,933,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,57318,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,59187,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,62652,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,990,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,1036,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,1181,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,17270,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,17507,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,18858,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,35719,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,36565,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2011,40058,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2009,94,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2010,103,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2011,113,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2009,2638,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2010,2808,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2011,2825,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2009,9729,INCOME_8,Estimates of Personal Income - Average investment income ($)
2010,10710,INCOME_8,Estimates of Personal Income - Average investment income ($)
2011,11858,INCOME_8,Estimates of Personal Income - Average investment income ($)
2009,122,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2010,140,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2011,171,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2009,12585,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2010,13101,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2011,14422,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2009,22571,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2010,23160,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2011,23786,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2009,10,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2010,10,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2011,12,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2009,432,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2010,449,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2011,500,INCOME_13,Estimates of Personal Income - No. of superannuation and annuity income earners (no.)
2009,6967,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2010,3347,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2011,2497,INCOME_14,Estimates of Personal Income - Average other income (excl. Government pensions and allowances) ($)
2009,15,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2010,8,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2011,7,INCOME_15,Estimates of Personal Income - Total other income (excl. Government pensions and allowances) ($m)
2009,2194,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2010,2267,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2011,2912,INCOME_16,Estimates of Personal Income - No. of other income (excl. Government pensions and allowances) earners (no.)
2009,61018,INCOME_17,Estimates of Personal Income - Average total income (excl. Government pensions and allowances) ($)
