Time,Value,MEASURE,Description
2009,38,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,40,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,41,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,43,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,42,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,23,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,6,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,71,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,73,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,71,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,71,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,71,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,4,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,5,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,3,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,4,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,0,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,3,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,3,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,3,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,3,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,0,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,0,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,7,CABEE_10,Business Entries - Total number of business entries (no.)
2010,8,CABEE_10,Business Entries - Total number of business entries (no.)
2011,6,CABEE_10,Business Entries - Total number of business entries (no.)
2012,7,CABEE_10,Business Entries - Total number of business entries (no.)
2013,0,CABEE_10,Business Entries - Total number of business entries (no.)
2009,5,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,4,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,5,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,5,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,4,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,0,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,0,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,0,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,3,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,0,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,5,CABEE_15,Business Exits - Total number of business exits (no.)
2010,7,CABEE_15,Business Exits - Total number of business exits (no.)
2011,5,CABEE_15,Business Exits - Total number of business exits (no.)
2012,8,CABEE_15,Business Exits - Total number of business exits (no.)
2013,7,CABEE_15,Business Exits - Total number of business exits (no.)
2012,40,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,41,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,0,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,0,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,6,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,6,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,0,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,0,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,5,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,4,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,0,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,0,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,3,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,0,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,0,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,0,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,4,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,4,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,0,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
