Time,Value,MEASURE,Description
2009,6877,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,7236,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,7312,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,7300,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,7055,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,2575,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,1206,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,10244,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,10695,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,10963,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,11043,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,10836,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,1484,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,1612,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,1458,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,1307,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,1133,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,453,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,453,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,475,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,457,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,403,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,76,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,101,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,98,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,82,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,57,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,2013,CABEE_10,Business Entries - Total number of business entries (no.)
2010,2166,CABEE_10,Business Entries - Total number of business entries (no.)
2011,2031,CABEE_10,Business Entries - Total number of business entries (no.)
2012,1846,CABEE_10,Business Entries - Total number of business entries (no.)
2013,1593,CABEE_10,Business Entries - Total number of business entries (no.)
2009,1569,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,1369,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,1445,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,1459,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,1571,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,284,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,253,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,244,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,266,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,312,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,115,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,90,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,75,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,87,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,61,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,1968,CABEE_15,Business Exits - Total number of business exits (no.)
2010,1712,CABEE_15,Business Exits - Total number of business exits (no.)
2011,1764,CABEE_15,Business Exits - Total number of business exits (no.)
