Time,Value,MEASURE,Description
2009,221,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,231,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,227,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,212,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,207,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,65,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,37,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,320,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,318,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,316,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,307,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,309,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,31,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,30,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,23,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,22,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,20,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,9,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,7,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,5,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,7,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,8,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,4,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,43,CABEE_10,Business Entries - Total number of business entries (no.)
2010,37,CABEE_10,Business Entries - Total number of business entries (no.)
2011,31,CABEE_10,Business Entries - Total number of business entries (no.)
2012,33,CABEE_10,Business Entries - Total number of business entries (no.)
2013,28,CABEE_10,Business Entries - Total number of business entries (no.)
2009,37,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,27,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,28,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,41,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,33,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,4,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,7,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,5,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,6,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,5,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,5,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,44,CABEE_15,Business Exits - Total number of business exits (no.)
2010,39,CABEE_15,Business Exits - Total number of business exits (no.)
2011,33,CABEE_15,Business Exits - Total number of business exits (no.)
2012,50,CABEE_15,Business Exits - Total number of business exits (no.)
2013,38,CABEE_15,Business Exits - Total number of business exits (no.)
2012,90,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,90,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,13,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,14,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,60,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,62,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,8,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,8,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,15,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,13,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,16,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,12,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,20,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,22,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,13,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2013,9,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
2012,21,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2013,20,CABEE_33,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)"
2012,12,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2013,12,CABEE_31,Number of Businesses by Industry - Professional scientific and technical services (no.)
2012,6,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2013,7,CABEE_18,Number of Businesses by Industry - Administrative and support services (no.)
2012,3,CABEE_22,Number of Businesses by Industry - Education and training (no.)
2012,7,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2013,8,CABEE_25,Number of Businesses by Industry - Health care and social assistance (no.)
2012,3,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2013,3,CABEE_20,Number of Businesses by Industry - Arts and recreation services (no.)
2012,14,CABEE_30,Number of Businesses by Industry - Other services (no.)
2013,19,CABEE_30,Number of Businesses by Industry - Other services (no.)
2012,5,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2013,6,CABEE_29,Number of Businesses by Industry - Not classified (no.)
2012,309,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,308,CABEE_35,Number of Businesses by Industry - Total (no.)
2013,3,BANKRUPT_2,Bankruptcies - Non business (inc. not stated) (no.)
2012,4,BANKRUPT_4,Bankruptcies - Total (no.)
2013,3,BANKRUPT_4,Bankruptcies - Total (no.)
2011,1614,LF_2,Labour Force Statistics - Labour Force (no. )
2011,91,LF_3,Labour Force Statistics - Unemployed (no. )
2011,5.6,LF_4,Labour Force Statistics - Unemployment rate (%)
2011,56.6,LF_5,Labour Force Statistics - Participation rate (%)
2011,6.8,YOUTH_2,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying part-time (% of all 15-19 yo)
2011,1.3,YOUTH_3,Youth (15-19 Years) Engagement in Work/Study - Working part time and studying part-time (% of all 15-19 yo)
2011,12.7,YOUTH_4,Youth (15-19 Years) Engagement in Work/Study - Working part-time and studying full-time (% of all 15-19 yo)
2011,13.1,YOUTH_5,Youth (15-19 Years) Engagement in Work/Study - Working full-time (not studying) (% of all 15-19 yo)
2011,34.8,YOUTH_6,Youth (15-19 Years) Engagement in Work/Study - Studying full-time (not working) (% of all 15-19 yo)
2011,1.3,YOUTH_7,Youth (15-19 Years) Engagement in Work/Study - Working full-time and studying full-time (% of all 15-19 yo)
2011,69.9,YOUTH_8,Youth (15-19 Years) Engagement in Work/Study - Fully engaged (% of all 15-19 yo)
2011,236,YOUTH_9,Youth (15-19 Years) Engagement in Work/Study - Total - aged 15-19 years (no.)
2011,456,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2012,476,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2013,493,PENSION_2,Selected Government Pensions and Allowances - Age Pension - Centrelink (no.)
2009,52,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2010,47,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2011,47,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2012,44,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2013,37,PENSION_4,Selected Government Pensions and Allowances - Service Pension - DVA (no.)
2009,14,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2010,12,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,12,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2012,10,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2013,8,PENSION_5,Selected Government Pensions and Allowances - Income Support Supplement - DVA (no.)
2011,31,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2012,31,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2013,35,PENSION_6,Selected Government Pensions and Allowances - Carer Payment (no.)
2011,152,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2012,164,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2013,154,PENSION_7,Selected Government Pensions and Allowances - Disability Support Pension (no.)
2010,96,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2011,87,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2012,88,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2013,128,PENSION_8,Selected Government Pensions and Allowances - Newstart Allowance (no.)
2010,62.5,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2011,60.9,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2012,58,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2013,70.3,PENSION_9,Selected Government Pensions and Allowances - Newstart Allowance - on income support more than 365 days (%)
2010,81,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2011,70,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2012,71,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2013,71,PENSION_10,Selected Government Pensions and Allowances - Parenting Payment - Single (no.)
2009,331,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2010,326,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2011,322,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2012,273,PENSION_13,Selected Government Pensions and Allowances - Family Tax Benefit A (no.)
2009,304,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2010,329,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2011,341,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2012,291,PENSION_14,Selected Government Pensions and Allowances - Family Tax Benefit B (no.)
2009,356,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2010,365,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2011,369,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2012,320,PENSION_15,Selected Government Pensions and Allowances - Total Family Tax Benefit recipients (no.)
2009,51775,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2010,54805,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2011,58305,INCOME_2,Estimates of Personal Income - Average wage and salary income ($)
2009,78,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2010,82,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2011,90,INCOME_3,Estimates of Personal Income - Total wage and salary income ($m)
2009,1514,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2010,1501,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2011,1552,INCOME_4,Estimates of Personal Income - No. of wage and salary earners (no.)
2009,10539,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2010,5703,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2011,9758,INCOME_5,Estimates of Personal Income - Average own unincorporated business income ($)
2009,4,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2010,2,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2011,4,INCOME_6,Estimates of Personal Income - Total own unincorporated business income ($m)
2009,426,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2010,420,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2011,415,INCOME_7,Estimates of Personal Income - No. of own unincorporated business earners (no.)
2009,8550,INCOME_8,Estimates of Personal Income - Average investment income ($)
2010,5842,INCOME_8,Estimates of Personal Income - Average investment income ($)
2011,7540,INCOME_8,Estimates of Personal Income - Average investment income ($)
2009,10,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2010,7,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2011,9,INCOME_9,Estimates of Personal Income - Total investment income ($m)
2009,1152,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2010,1129,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2011,1218,INCOME_10,Estimates of Personal Income - No. of investment income earners (no.)
2009,21665,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2010,19693,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2011,19242,INCOME_11,Estimates of Personal Income - Average superannuation and annuity income ($)
2009,1,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
2010,1,INCOME_12,Estimates of Personal Income - Total superannuation and annuity income ($m)
