Time,Value,MEASURE,Description
2009,315,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2010,342,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2011,331,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2012,324,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,319,CABEE_2,Number of Businesses - Number of non-employing businesses (no.)
2013,123,CABEE_3,Number of Businesses - Number of employing businesses: 1-4 employees (no.)
2013,38,CABEE_4,Number of Businesses - Number of employing businesses: 5 or more employees (no.)
2009,490,CABEE_5,Number of Businesses - Total number of businesses (no.)
2010,503,CABEE_5,Number of Businesses - Total number of businesses (no.)
2011,491,CABEE_5,Number of Businesses - Total number of businesses (no.)
2012,481,CABEE_5,Number of Businesses - Total number of businesses (no.)
2013,480,CABEE_5,Number of Businesses - Total number of businesses (no.)
2009,37,CABEE_7,Business Entries - Number of non employing business entries (no.)
2010,51,CABEE_7,Business Entries - Number of non employing business entries (no.)
2011,26,CABEE_7,Business Entries - Number of non employing business entries (no.)
2012,31,CABEE_7,Business Entries - Number of non employing business entries (no.)
2013,27,CABEE_7,Business Entries - Number of non employing business entries (no.)
2009,14,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2010,12,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2011,12,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2012,10,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2013,10,CABEE_8,Business Entries - Number of employing business entries: 1-4 employees (no.)
2009,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2010,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2011,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2012,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2013,3,CABEE_9,Business Entries - Number of employing business entries: 5 or more employees (no.)
2009,54,CABEE_10,Business Entries - Total number of business entries (no.)
2010,66,CABEE_10,Business Entries - Total number of business entries (no.)
2011,41,CABEE_10,Business Entries - Total number of business entries (no.)
2012,44,CABEE_10,Business Entries - Total number of business entries (no.)
2013,40,CABEE_10,Business Entries - Total number of business entries (no.)
2009,49,CABEE_12,Business Exits - Number of non employing business exits (no.)
2010,39,CABEE_12,Business Exits - Number of non employing business exits (no.)
2011,41,CABEE_12,Business Exits - Number of non employing business exits (no.)
2012,39,CABEE_12,Business Exits - Number of non employing business exits (no.)
2013,37,CABEE_12,Business Exits - Number of non employing business exits (no.)
2009,10,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2010,8,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2011,8,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2012,10,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2013,10,CABEE_13,Business Exits - Number of employing business exits: 1-4 employees (no.)
2009,4,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2010,6,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2011,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2012,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2013,3,CABEE_14,Business Exits - Number of employing business exits: 5 or more employees (no.)
2009,63,CABEE_15,Business Exits - Total number of business exits (no.)
2010,53,CABEE_15,Business Exits - Total number of business exits (no.)
2011,52,CABEE_15,Business Exits - Total number of business exits (no.)
2012,52,CABEE_15,Business Exits - Total number of business exits (no.)
2013,50,CABEE_15,Business Exits - Total number of business exits (no.)
2012,225,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2013,223,CABEE_19,"Number of Businesses by Industry - Agriculture, Forestry and Fishing (no.)"
2012,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2013,3,CABEE_28,Number of Businesses by Industry - Mining (no.)
2012,16,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2013,15,CABEE_27,Number of Businesses by Industry - Manufacturing (no.)
2012,5,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2013,3,CABEE_23,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)"
2012,55,CABEE_21,Number of Businesses by Industry - Construction (no.)
2013,53,CABEE_21,Number of Businesses by Industry - Construction (no.)
2012,8,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2013,8,CABEE_37,Number of Businesses by Industry - Wholesale trade (no.)
2012,16,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2013,17,CABEE_34,Number of Businesses by Industry - Retail trade (no.)
2012,14,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2013,12,CABEE_17,Number of Businesses by Industry - Accommodation and food services (no.)
2012,19,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2013,21,CABEE_36,"Number of Businesses by Industry - Transport, postal and warehousing (no.)"
2012,3,CABEE_26,Number of Businesses by Industry - Information media and telecommunications (no.)
2012,16,CABEE_24,Number of Businesses by Industry - Financial and insurance services (no.)
