Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1990,27.8,25.1,18.5,14.3,10.7,8.8,9.5,12.1,16.9,21.9,27,30.5,18.6
1991,30.6,24.9,21.6,15.1,10.8,7.6,8.2,12.7,16.6,23,25.8,29.5,18.9
1992,28.5,23.2,18.9,15.9,11.2,8.5,9.4,11.4,15.5,22.2,23.5,30.8,18.2
1993,29.5,26.9,19.7,14.2,10.9,9.1,9.8,11.8,16.2,21.4,25.8,31.5,18.9
1994,30.8,25.1,20.6,16,11,8.6,10.2,15.4,17.3,20.6,27.6,31.7,19.6
1995,30.6,27.3,21.1,16.4,11.6,8.4,9.5,13,17.7,24.9,26.6,28.4,19.6
1996,30.4,27.2,21.4,15.2,11.3,8,8.8,13.7,16.9,24.9,27,31.2,19.7
1997,31.1,24.2,22,13.8,10.8,8.7,10.7,13.7,17.4,23.6,25.3,31.1,19.4
1998,30,28.1,21.3,16.1,10.9,8.5,9.3,12.2,18.4,24.2,27,29.3,19.6
1999,29.9,29.1,21.2,16.2,9,9.7,10.7,13.7,16.6,22.3,29.4,29.4,19.8
2000,24.7,28.5,22,15.4,12,9.3,9.3,13.2,17.3,25.2,27.5,31.6,19.7
2001,28.6,25.4,23.4,16.1,10.6,10.5,10.7,12.9,15.4,23.4,26.9,29.9,19.5
2002,29.9,27.4,22.4,14.7,11.1,8.7,9.5,13.9,18.7,22,28.9,30.2,19.8
2003,29.5,26.1,21.6,13.7,10.8,9.7,8.9,12.8,16.9,23.9,27.5,30.3,19.3
2004,30.2,25.9,22.9,14.9,11,8,10.9,12.5,19,22.7,26.6,29.8,19.5
2005,30.8,25.5,17.4,15.2,10.2,8.2,11.4,12.8,17.8,23.2,28.9,,
2006,27,27.7,22.7,16.6,11.6,10.1,10.2,12.8,18.4,24.3,26.2,30.8,19.9
2007,28.1,25,22.8,15.8,11.1,10,8.6,12.4,17.4,23.2,30.6,27.7,19.4
2008,28.8,24.9,21.7,15.8,11.2,9.5,9.3,15.2,17.6,22,28.1,30.9,19.6
2009,30.1,25.8,22.3,16.1,12.3,9,10.5,13.5,17,23.3,27.4,31.9,19.9
2010,32,26.5,21.8,16,12.2,9.8,10.6,13.9,19.5,25.6,26.7,28.8,20.3
2011,27.7,26.4,23.3,16.9,11.8,8.9,9.2,14.1,16.7,20.7,26.4,27.7,19.1
2012,28.9,25.3,24.7,15.1,11.6,8.5,11.4,14,18.5,23.5,26.9,29,19.8
2013,29.2,27.2,21.3,13.5,11.3,9.9,10,12.9,15.3,22.9,27.3,30.4,19.3
2014,30,27.4,20,15.3,9.8,9.5,9.6,12.3,16.4,21.8,25,30.9,19
2015,29.2,23.8,20.4,14.3,11.9,9.9,6.4,,,,,,
,,,,,,,,,,,,,
Lat:,32.05¡,SLon:,115.76¡,E,,,,,,,,,
