Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1990,27.5,24.6,17.9,14.1,10.8,9.4,10.2,12.1,16.4,21.1,26.4,30.5,18.4
1991,31,25.1,21.2,14.8,11.3,8.3,8.6,12.5,16.1,22.3,26.2,29.2,18.9
1992,28.5,23.7,19.4,16,10.9,8.6,9.2,11,15.3,22.1,23.5,30.5,18.2
1993,29.5,26.1,19.7,14.3,10.9,9.4,10.1,11.5,15.9,21.2,25.3,31.6,18.8
1994,30.7,24.9,20.7,16,11.8,8.8,10.2,15.5,16.9,20.7,27.5,31.4,19.6
1995,30.1,26.9,20.7,16.4,12.1,8.7,9.5,13.4,17.6,24.3,26.1,28.9,19.6
1996,31.1,28,21.7,14.8,11.6,8.7,8.7,13.2,16.4,25,27.2,30.4,19.7
1997,31.5,24.7,23,14,10.7,9.1,11,13.4,17.1,23.9,25.4,31.5,19.6
1998,30.6,28.7,20.6,14.8,10.8,9,9.9,12.6,17.3,23.5,26.9,29.2,19.5
1999,29.3,29,20.3,16.1,9.5,9.8,11.3,13.6,16.6,22.9,29.7,29.7,19.8
2000,25.4,28.6,21.5,15.3,12.7,9.4,9.1,12.7,17.2,24.9,26.3,31.7,19.6
2001,29,25,23,16.2,10.5,10.9,10.5,12.9,14.6,23.4,27,29.7,19.4
2002,29.9,27.3,22.5,14.9,11.5,9.3,9.8,14,18.5,21.7,28.8,30.1,19.9
2003,29.6,25.7,21.1,14.4,11.2,9.9,9.2,12.9,16.9,23.6,27.2,30.2,19.3
2004,30.3,25.5,22.9,15.2,11.2,8.1,10.9,12.5,18,21.9,25.4,30,19.3
2005,31.5,26.3,18,15.4,10.1,7.8,11.2,12.3,16.7,22.3,28.4,,
2006,26.6,25.8,22.3,15.9,12,10.7,10.4,12.4,18.5,24.2,24.9,30.6,19.5
2007,28.4,24.9,22.5,15.9,11.3,10.2,9.2,12.4,17.2,22.6,30.6,27.1,19.4
2008,29.1,25,21,14.7,11.3,9.5,9,15,17,21.5,26.9,30.7,19.2
2009,29.3,24.8,21,15.9,12.5,8.8,10.3,13,16.7,23,27.5,31.7,19.5
2010,31.3,25.6,20.5,15.3,12.1,9.9,10.5,13.8,19.3,25.1,26.8,27.7,19.8
2011,27.5,26.3,23,16.5,11.5,8.9,8.9,13.7,16.3,20.7,25.8,27.1,18.9
2012,28.5,24.8,24,15.1,11.8,8.3,11.4,13.8,18.7,22.3,26.4,28.8,19.5
2013,29.4,26.9,20.8,13.7,11.5,10.2,10.1,12.4,15,22.9,26.2,30,19.1
2014,30.1,27.3,19.8,15.3,9.8,9.7,9.7,12.6,16.2,21.6,23.9,30.9,18.9
2015,28.7,23.3,19.8,14.3,11.8,10,6.7,,,,,,
,,,,,,,,,,,,,
Latitude: 31.92¡S á Longitude: 115.87¡E ,,,,,,,,,,,,,
