Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1990,27.8,24.2,17.6,14.5,11,9.6,10.2,12.1,16.3,20.4,26.7,30.4,18.4
1991,30.8,25,21.1,14.9,11.4,8.4,8.5,12.5,16.2,22.3,26.3,28.5,18.8
1992,27.9,23.6,19.6,15.8,10.8,8.3,9,10.8,15.1,22,22.8,30.4,18
1993,29.5,26.3,19.7,14.6,10.7,9.2,9.5,11.1,15.8,21.5,25.4,31.6,18.7
1994,31,24.9,20.9,16.2,11.7,8.8,10.1,15.5,16.5,20.5,26.5,31.1,19.5
1995,30,26.6,20.7,16.5,12.4,8.5,9.5,13.3,17.1,24.1,26,29.1,19.5
1996,31.3,27.8,21.5,15.1,11.8,8.1,8.2,12.8,16.5,24.4,26.9,30.6,19.6
1997,31.3,24.5,22,13.5,10.5,8.9,10.8,13.6,16.7,23.9,25.3,31.4,19.4
1998,30.5,27.8,21.3,15.3,10.9,8.6,9.4,12.6,16.9,23.8,26.7,29.3,19.4
1999,29.1,28.3,20.6,16.6,9.2,9.9,11.3,13.3,16.6,22.4,29.4,28.7,19.6
2000,25,28.5,21.7,15.5,12.7,9.4,9.4,12.2,17.3,24,25.9,32,19.5
2001,28.8,24.5,22.7,16.1,10.6,10.8,10.4,12.8,14.6,23.3,27.6,29.9,19.3
2002,30,27.6,22.5,14.9,11.3,9.1,9.9,13.5,18,21.9,28.5,30.1,19.8
2003,29.2,25.5,21,14.6,11.1,10,9.1,12.7,16.5,23.6,27.1,30,19.2
2004,30.2,25.8,22.8,14.9,11.5,8.3,10.9,12.3,18.1,21.7,25.7,29.6,19.3
2005,31.1,26.3,18,15.6,9.9,8,11.3,12.2,16.3,21.9,28.1,,
2006,27.4,25.5,22,15.5,12,10.7,10.5,12.5,17.8,23.4,25.1,31.1,19.5
2007,28.7,25.1,22.3,15.8,11.4,10,9.2,12.6,16.7,22.2,30.6,27.1,19.3
2008,29.3,24.9,21,14.8,11.6,9.7,9.1,15,17,21.1,26,30.7,19.2
2009,28.8,24.8,21,15.8,12.5,8.7,10,12.7,16.1,22.8,28,31.6,19.4
2010,31.6,25.8,20.6,15.2,12.1,10,10.2,13.6,19.4,25.2,27.2,27.6,19.9
2011,27.6,26.2,22.7,16.3,11.4,8.9,9,13.6,15.7,20.6,26.1,27.3,18.8
2012,28.4,24.8,24.1,15.3,11.8,8.3,11.2,13.9,18.4,22,25.7,28.5,19.4
2013,29.4,26.6,20.5,14,11.4,10.2,10.3,12.6,15.3,23,26.1,30.2,19.1
2014,30,27.2,20,15.3,9.6,9.9,9.7,12.3,16.2,21.5,24,30.7,18.9
2015,28.6,23.4,19.3,14.3,11.8,10.2,7,,,,,,
,,,,,,,,,,,,,
Latitude: 31.84¡S á Longitude: 115.95¡E ,,,,,,,,,,,,,
