Lat,Lon,Elev.(meters)
-33.67,116.3,236.000
-32.8,116.82,263.000
-33.16,116,295.000
-33.61,115.04,212.000
-34,116.32,272.000
-33.94,115.16,85.000
-32.23,116.46,280.000
-33.61,116.34,235.000
-31.6,115.56,-32768.000
-31.57,115.3,-32768.000
-32.92,115.56,-32768.000
-31.75,115.02,-32768.000
-31.51,115.98,87.000
-33.13,116.66,307.000
-33.04,115.76,34.000
-33.94,116.34,233.000
-32.26,115.86,11.000
-31.21,115.86,253.000
-32.65,116.74,292.000
-32.44,115.1,-32768.000
-33.58,115.9,134.000
-33.46,116.1,297.000
-33.34,116.48,343.000
-33.94,115.64,123.000
-32.59,115.02,-32768.000
-33.13,116.68,366.000
-31.45,116.68,216.000
-33.04,115.08,-32768.000
-31.36,116.34,364.000
-33.85,116.24,276.000
-33.16,115.38,-32768.000
-32.11,115.16,-32768.000
-32.47,116.72,343.000
-31.84,116.1,254.000
-32.17,116.92,246.000
-32.8,115.48,-32768.000
-31.6,116.52,144.000
-32.53,116.16,269.000
-31.27,115.02,-32768.000
-33.94,116.02,118.000
-32.98,115.76,26.000
-33.37,115.64,4.000
-32.92,115.38,-32768.000
-31.39,116.08,202.000
-33.55,115.46,-32768.000
-32.71,116.86,336.000
-34,115.88,331.000
-33.13,115.1,-32768.000
-32.17,116.02,111.000
-32.59,115.02,-32768.000
-33.25,115.44,-32768.000
-31.06,116.76,273.000
-32.62,115.08,-32768.000
-33.85,115.94,267.000
-31.03,115.72,82.000
-31.78,115.16,-32768.000
-32.8,115.66,9.000
-32.44,116.9,302.000
-32.53,116.54,364.000
-34,115.78,145.000
-33.07,116.28,324.000
-33.79,115.86,245.000
-32.53,115.62,-32768.000
-31.51,115.74,49.000
-32.86,115.18,-32768.000
-33.07,115.58,-32768.000
-33.52,116.28,207.000
-31.93,115.56,-32768.000
-31.72,116.24,269.000
-31.06,116.5,278.000
-31.51,116.48,246.000
-33.82,116.42,204.000
-32.02,115.46,10.000
-31,116.18,246.000
-31.06,115.28,-32768.000
-31.63,115,-32768.000
-32.68,115.58,-32768.000
-32.2,116.72,265.000
-33.31,116.86,310.000
-33.97,115.84,276.000
-31.84,116.24,255.000
-33.25,115.64,-32768.000
-32.17,116.76,298.000
-32.53,116.88,320.000
-31.96,115.72,-32768.000
-33.73,115.94,156.000
-33.49,116.02,225.000
-31.75,115.32,-32768.000
-31.72,116.68,199.000
-31.06,116.5,278.000
-31.75,116.48,295.000
-33.94,116.52,256.000
-32.14,115.36,-32768.000
-33.7,116.26,283.000
-33.88,116.7,240.000
-32.62,115.24,-32768.000
-32.68,116.52,254.000
-32.08,116.44,246.000
-32.02,115.1,-32768.000
-32.77,115.26,-32768.000
-32.2,115.68,7.000
-31.45,116.02,190.000
-31.96,116.56,333.000
-32.17,116.18,274.000
-33.01,115.86,20.000
-33.52,116.16,270.000
-32.98,115.16,-32768.000
-33.22,115.38,-32768.000
-31.54,116.92,258.000
-31.57,115.74,50.000
-32.5,116.74,339.000
-32.11,115.54,-32768.000
-31,116.9,290.000
-31,115.52,61.000
-32.83,116.3,338.000
-31.03,115.82,205.000
-31.24,117,266.000
-31.69,116.68,254.000
-32.74,116.18,318.000
-33.97,115.74,114.000
-31.12,116.52,279.000
-31.48,115.36,-32768.000
-32.89,115.58,-32768.000
-33.25,115.2,-32768.000
-32.56,115.38,-32768.000
-33.85,115.12,139.000
-32.98,116.96,326.000
-31.24,116.36,308.000
-31.18,115.66,64.000
-31.03,116.82,302.000
-33.07,115.66,-32768.000
-33.04,116.94,319.000
-31.6,115.46,-32768.000
-31.54,115.16,-32768.000
-32.62,115.44,-32768.000
-31.06,116.68,240.000
-33.94,115.82,263.000
-31.9,116.62,346.000
-31.24,115.8,54.000
-32.23,116.92,223.000
-33.97,115.78,91.000
-32.92,116.28,264.000
-33.04,115.7,0.000
-31.93,115.54,-32768.000
-33.46,115.5,-32768.000
-32.23,116.34,344.000
-32.08,116,24.000
-31.78,116.82,257.000
-31,115.86,144.000
-32.02,116.12,254.000
-32.83,115.9,22.000
-31.39,116.26,327.000
